method,checkpoint,episodes,evaluation_horizon,model_return_mean,model_return_std,real_return_mean,real_return_std,exploitation_gap_mean,exploitation_gap_std,mean_model_uncertainty,mean_training_horizon
Real PPO seed 0,runs/ppo_seed0/checkpoint.pt,50,200,-150.58840942382812,86.38765716552734,-150.47120262822492,86.2993833838406,-0.11720608034745464,0.5526470301059281,8.767196391090692e-07,nan
Fixed H=5,runs/imagined_fixed_h5/checkpoint.pt,50,200,-293.6444091796875,290.7638244628906,-295.6781310979126,294.84859738820336,2.0337414113281516,8.194360870393957,1.8753660242509795e-06,5.0
Fixed H=20,runs/imagined_fixed_h20/checkpoint.pt,50,200,-149.92559814453125,86.7139663696289,-149.73703165284954,86.59018224121945,-0.18857279070056815,0.3977093396574014,8.866286407283042e-07,20.0
Uncertainty termination,runs/imagined_uncertainty/checkpoint.pt,50,200,-150.03102111816406,87.16832733154297,-149.82736239197,86.95604783154937,-0.20366923091665673,0.4798660987618579,1.0515125268284464e-06,16.4
Weighted advantage H=20,runs/imagined_weighted/checkpoint.pt,50,200,-278.87176513671875,265.8333740234375,-288.6236301540888,282.4554814282285,9.751847503141212,25.403694238860684,2.8838301204814343e-06,20.0
