update,global_step,episodes_completed,mean_return_20,mean_length_20,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,sps
1,2048,8,-1217.6304635984386,200.0,-0.005952998995780945,0.6418672800064087,0.9271040558815002,0.003173563629388809,0.01650390625,0.0003,10034
2,4096,16,-1238.9620036541994,199.5,-0.0046352967619895935,0.04648179933428764,0.9224024415016174,0.003355926601216197,0.016357421875,0.0003,10305
3,6144,24,-1241.1202513081566,199.2,-0.008824633434414864,0.04256666824221611,0.9244784712791443,0.003390126395970583,0.027001953125,0.0003,10485
4,8192,40,-1220.2589002941127,199.0,-0.008397787809371948,0.05171995982527733,0.9195578098297119,0.0034522346686571836,0.028173828125,0.0003,10559
5,10240,48,-1092.6491120831593,199.0,0.0022958004847168922,0.03820480778813362,0.9181051850318909,0.003258025972172618,0.019921875,0.0003,10592
6,12288,56,-1110.4676766169673,199.0,0.0010650958865880966,0.04434104263782501,0.9158785343170166,0.002311054849997163,0.01220703125,0.0003,10618
7,14336,64,-1100.2384530336944,199.0,-0.00397153664380312,0.07888394594192505,0.9116737246513367,0.002200249582529068,0.003369140625,0.0003,10656
8,16384,80,-1167.928106135177,199.0,-0.008108939044177532,0.07361751794815063,0.9054396152496338,0.0028170093428343534,0.032275390625,0.0003,10674
9,18432,88,-1095.413667652557,199.0,-0.007063750177621841,0.07308081537485123,0.9054318070411682,0.006464116275310516,0.0587890625,0.0003,10690
10,20480,96,-1090.7122347714428,199.0,-0.00728400144726038,0.056479718536138535,0.9150927066802979,0.0036862571723759174,0.02412109375,0.0003,10539
11,22528,112,-1103.4358903353755,199.0,-0.001991644501686096,0.10967223346233368,0.924796998500824,0.0034024256747215986,0.024609375,0.0003,10552
12,24576,120,-1089.9877156981424,199.0,-0.009038161486387253,0.07704324275255203,0.9319246411323547,0.004051655530929565,0.03232421875,0.0003,10571
13,26624,128,-1045.0866767653479,199.0,0.00045322999358177185,0.077818363904953,0.9274912476539612,0.0013846696820110083,0.045263671875,0.0003,10584
14,28672,136,-1046.8123592438835,199.0,-0.004652027040719986,0.05193468555808067,0.9269676804542542,0.005277425982058048,0.031005859375,0.0003,10598
15,30720,152,-1071.7625152916914,199.0,0.0005149953067302704,0.15966108441352844,0.9217348694801331,0.00197427487000823,0.010546875,0.0003,10610
16,32768,160,-1108.7662759340628,199.0,-0.004132529720664024,0.07008755207061768,0.9184333682060242,0.0048368084244430065,0.02802734375,0.0003,10607
17,34816,168,-1105.8337456945624,199.0,-0.0021541453897953033,0.11493761837482452,0.9171877503395081,0.004926600493490696,0.039501953125,0.0003,10384
