update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,192,-3.157333478331566,20.0,7.648753808098263e-07,0,-0.0075446730479598045,113.62582397460938,0.001588928629644215,0.022412109375,1.0,17520
2,8192,384,-3.5289802715182303,20.0,7.78035200710292e-07,0,0.0006897225975990295,69.3387222290039,0.0027530593797564507,0.008935546875,1.0,18088
3,12288,608,-20.714054918289186,20.0,1.184573534374067e-06,0,-0.0021040625870227814,193.73895263671875,0.0024582971818745136,0.006884765625,1.0,18328
4,16384,800,-18.11585143506527,20.0,1.1368069863237906e-06,0,-0.0004190225154161453,115.80371856689453,0.003866142826154828,0.00986328125,1.0,18423
5,20480,1024,-6.651128794252872,20.0,1.071754127224267e-06,0,0.004909217357635498,124.86083984375,0.0031270270701497793,0.01728515625,1.0,18432
6,24576,1216,-11.21648109704256,20.0,7.259047265506524e-07,0,-0.0011667273938655853,66.46524047851562,0.0020709631498903036,0.0087890625,1.0,18328
7,28672,1408,-25.54971355497837,20.0,9.050420999301423e-07,0,-0.007729114964604378,113.04107666015625,0.0017401038203388453,0.00771484375,1.0,18182
8,32768,1632,-19.084335684776306,20.0,1.0047585874417564e-06,0,-0.0018906071782112122,147.50823974609375,0.0023911725729703903,0.007470703125,1.0,18196
9,36864,1824,-14.1692268460989,20.0,9.78072648649686e-07,0,-0.002671007066965103,55.64372253417969,0.0017283520428463817,0.00498046875,1.0,18240
10,40960,2048,-12.505716270208358,20.0,7.663418273295974e-07,0,-0.010566937737166882,105.92793273925781,0.003155190497636795,0.006103515625,1.0,18210
11,45056,2240,-0.5140856802463531,20.0,1.0168580502067925e-06,0,-0.0017509907484054565,106.26206970214844,0.003347417339682579,0.01201171875,1.0,18213
12,49152,2432,-11.213430093228817,20.0,9.437807761969452e-07,0,-0.0018949732184410095,83.03111267089844,0.0012799589894711971,0.001318359375,1.0,18094
13,53248,2656,-20.03941405713558,20.0,8.058628964136005e-07,0,0.0005002060206606984,99.95201110839844,0.0025321573484688997,0.001416015625,1.0,17889
14,57344,2848,-23.545391207933427,20.0,1.0378479373684968e-06,0,0.008135024458169937,83.27659606933594,0.001429688069038093,0.001318359375,1.0,17481
15,61440,3072,-5.720691694319248,20.0,7.003337714195368e-07,0,-0.003706909716129303,58.345191955566406,0.0027389503084123135,0.0109375,1.0,17516
16,65536,3264,-16.468838684260845,20.0,1.1799822914326796e-06,0,-0.0023923683911561966,110.42493438720703,0.0032015142496675253,0.008203125,1.0,17559
17,69632,3456,-17.749492740631105,20.0,9.906889317790046e-07,0,-0.003236842341721058,95.00250244140625,0.0011714936699718237,4.8828125e-05,1.0,17590
18,73728,3680,-18.19394942075014,20.0,8.763576033743448e-07,0,-0.002061019651591778,102.6141357421875,0.0002917239617090672,0.0,1.0,17628
19,77824,3872,-15.323450985550881,20.0,1.1065344551752787e-06,0,-0.004018949344754219,126.11427307128906,0.000298749771900475,0.000634765625,1.0,17664
20,81920,4096,-28.793810485303403,20.0,9.747124067871482e-07,0,-0.00013203173875808716,133.15086364746094,7.84057192504406e-06,0.0,1.0,17706
21,86016,4288,-20.79952484369278,20.0,9.450767493035528e-07,0,-0.0014681648463010788,101.12692260742188,0.0008509104372933507,0.0,1.0,17693
22,90112,4480,-17.49024198949337,20.0,8.603548735663935e-07,0,-0.0007119681686162949,109.3197250366211,0.0001845544611569494,0.0,1.0,17700
23,94208,4704,-31.220932622253894,20.0,9.211839255840459e-07,0,-0.0002992432564496994,110.7337646484375,2.1640444174408913e-06,0.0,1.0,17719
24,98304,4896,-11.464406709372998,20.0,5.238019866737886e-07,0,0.000518210232257843,49.33349609375,7.624737918376923e-06,0.0,1.0,17756
