member,epoch,train_normalized_mse,validation_one_step_mse
0,1,0.10455254754996499,0.00012778914242517203
0,2,0.0032224588886891068,6.709976150887087e-05
0,3,0.0024603552808732353,0.0001026023892336525
0,4,0.0021471190563838592,4.560295565170236e-05
0,5,0.0020657417145878514,7.704618474235758e-05
0,6,0.0019864329707950726,5.872696056030691e-05
0,7,0.0020004338618865654,5.3211104386718944e-05
0,8,0.0017577893524148768,5.8290297602070495e-05
0,9,0.0018426815892466672,0.00011377983173588291
0,10,0.0018477936004850399,5.6648692407179624e-05
0,11,0.001494400500726258,6.96899660397321e-05
0,12,0.001538918456816093,6.074085831642151e-05
0,13,0.0014188022318681107,4.061761865159497e-05
0,14,0.0012221136227948104,5.564036837313324e-05
0,15,0.001184584457793765,3.547602318576537e-05
0,16,0.001140790538121567,3.7568748666672036e-05
0,17,0.0009008737056421812,2.3629097995581105e-05
0,18,0.000932989941661038,3.227176421205513e-05
0,19,0.0009431948017772279,3.091337566729635e-05
0,20,0.0008475653987352606,3.145627852063626e-05
0,21,0.0008284573412902793,2.381655212957412e-05
0,22,0.0008162843294165609,1.5562231055810116e-05
0,23,0.0006827397140993159,2.353180207137484e-05
0,24,0.0006545501024295072,2.5508534235996194e-05
0,25,0.0005707902449357181,1.396783954987768e-05
0,26,0.0007763899994201351,4.836650987272151e-05
0,27,0.0010818638594476953,1.9635750504676253e-05
0,28,0.0005650975784585307,2.2493943106383085e-05
0,29,0.0005112890482613805,1.5119997442525346e-05
0,30,0.0004352328641654142,1.0675787962100003e-05
0,31,0.0004223905605971735,1.2798494935850613e-05
0,32,0.0005577953656190434,1.2112136573705357e-05
0,33,0.00038490991241425966,1.5788746168254875e-05
0,34,0.0005087291037650207,1.2068604519299697e-05
0,35,0.00046744012951438696,1.7399212083546445e-05
0,36,0.0006060241417675464,1.596980837348383e-05
0,37,0.0006709977494414686,1.4702885891892947e-05
0,38,0.00043961275234771796,1.0586107237031683e-05
0,39,0.0003954057118333857,1.0714203199313488e-05
0,40,0.0003816492507007704,1.1551189345482271e-05
0,41,0.0002952400350234508,4.88807791043655e-06
0,42,0.0003952540486243151,1.0531572115723975e-05
0,43,0.0005827650870002091,6.501518328150269e-06
0,44,0.0003498490146722932,1.0275415661453735e-05
0,45,0.00038249308139373526,6.663035946985474e-06
0,46,0.0004446032360810514,1.7766282326192595e-05
0,47,0.00037876217193548645,4.232577339280397e-06
0,48,0.0004271883543678958,4.166161033936078e-06
0,49,0.0001986061945975134,3.915664819942322e-06
0,50,0.00037747362836133803,6.7646242314367555e-06
0,51,0.00021677284996683412,4.765211087942589e-06
0,52,0.00022014405514455803,8.588724995206576e-06
0,53,0.00026023159607552724,4.921036634186748e-06
0,54,0.0002818629604138216,4.082385203219019e-06
0,55,0.00026078774214387794,7.468794592568884e-06
0,56,0.00027992494332376624,1.061589500750415e-05
0,57,0.0003639112489122026,4.70916756967199e-06
0,58,0.000469139247149859,4.5891320041846484e-05
0,59,0.0006920964430020208,1.4509303582599387e-05
0,60,0.00031527045530792996,5.295088612911059e-06
0,61,0.00015267546356233743,4.284866008674726e-06
1,1,0.11823161598003327,9.87333114608191e-05
1,2,0.0034094538312747545,4.8012934712460265e-05
1,3,0.00269007294938466,9.736933861859143e-05
1,4,0.0026421582937582798,4.753380926558748e-05
1,5,0.002412095304524102,9.538357699057087e-05
1,6,0.0024271235474636137,7.161036774050444e-05
1,7,0.0020234749081791503,6.422771548386663e-05
1,8,0.001999184264391194,5.6084758398355916e-05
1,9,0.0017947150625595687,4.7652549255872145e-05
1,10,0.0019060472121932748,6.64097024127841e-05
1,11,0.001856835228216004,4.850436744163744e-05
1,12,0.001616674856825232,4.6710898459423333e-05
1,13,0.00158986610947624,6.952711555641145e-05
1,14,0.0016779434458704544,7.647769234608859e-05
1,15,0.001391064238020983,3.4680157114053145e-05
1,16,0.0015220832132534095,3.680291411001235e-05
1,17,0.0012385891647795546,3.648658093879931e-05
1,18,0.0012663360438766522,3.606263271649368e-05
1,19,0.0010893700045916507,3.3899781556101516e-05
1,20,0.001286415457020714,2.5247229132219218e-05
1,21,0.0010227708736072938,3.0003391657373868e-05
1,22,0.001050336955451564,1.7753713109414093e-05
1,23,0.0007628349454427966,1.765192428138107e-05
1,24,0.0007129501492963299,2.1429026674013585e-05
1,25,0.0006299446823536214,2.4934155590017326e-05
1,26,0.0005155773781967157,1.5874753444222733e-05
1,27,0.0005293934288826462,1.5402243661810644e-05
1,28,0.000539049304927464,1.3713114640268032e-05
1,29,0.0006192324365078936,3.378689143573865e-05
1,30,0.0005128227843560808,1.2648268238990568e-05
1,31,0.000432076489174688,1.0777526767924428e-05
1,32,0.000573153236452179,1.4285160432336852e-05
1,33,0.00035652657810866925,1.1565158274606802e-05
1,34,0.000409372443141754,1.403235819452675e-05
1,35,0.0005344780541894207,1.3822240362060256e-05
1,36,0.0003465772794908601,1.1467532203823794e-05
1,37,0.00029286650800239,6.829034646216314e-06
1,38,0.0004005110696578371,1.6516387404408306e-05
1,39,0.0004748785449702308,2.266907540615648e-05
1,40,0.0003315240308792585,6.261016551434295e-06
1,41,0.0004668931272012106,8.126464308588766e-06
1,42,0.0002322701878745074,8.04755291028414e-06
1,43,0.0003047581301396421,5.038221843278734e-06
1,44,0.0003998824771656995,1.3205061804910656e-05
1,45,0.0005175885365872949,5.447378498502076e-06
1,46,0.0003034878349673423,1.024317680275999e-05
1,47,0.0002679584210443005,9.810165465751197e-06
1,48,0.00029671505643084006,9.641365977586247e-06
1,49,0.0002448002447516099,8.50338619784452e-06
1,50,0.00042267690904609597,1.3282611689646728e-05
1,51,0.0003344917007272826,7.698943591094576e-06
1,52,0.00018171132137291212,6.096284323575674e-06
1,53,0.00019555282151999267,1.3812938959745225e-05
1,54,0.00033861585861263456,2.737124987106654e-06
1,55,0.0004225455326006781,5.685995347448625e-06
1,56,0.000181388056206095,3.1752983886690345e-06
1,57,0.00019121617910214983,7.072416337905452e-06
1,58,0.0006937701616675393,6.286676580202766e-06
1,59,0.000406088958289484,4.387755780044245e-06
1,60,0.00022422346784096476,3.672155344247585e-06
1,61,0.00017921219212401634,5.649839295074344e-06
1,62,0.000407678022491454,5.877936018805485e-06
1,63,0.00033274250474137724,4.346207333583152e-06
1,64,0.00015049315987559258,3.732465984285227e-06
1,65,0.0001988498054062977,6.284814844548237e-06
1,66,0.00012209393546307976,2.365843783991295e-06
1,67,0.00014961370860959455,8.586224794271402e-06
1,68,0.00078825677216193,4.7870194975985214e-05
1,69,0.0004682183058787573,1.2647587936953641e-05
1,70,0.00018058033496610984,3.8012381082808133e-06
1,71,0.0002732561477790499,4.5082078941049986e-06
1,72,0.0002932062582914875,1.0269214726577047e-05
1,73,0.0002026519702994391,4.5992087507329416e-06
