label,checkpoint,policy_type,episodes,mean,std,min,max
ppo_seed0,runs/ppo_seed0/checkpoint.pt,deterministic_actor_mean,30,-148.69135956596935,94.44373303232567,-359.56174160330323,-4.513167665511754
ppo_seed1,runs/ppo_seed1/checkpoint.pt,deterministic_actor_mean,30,-152.72748374393439,100.88690087413893,-388.16202110201414,-0.15502372412887286
ppo_seed2,runs/ppo_seed2/checkpoint.pt,deterministic_actor_mean,30,-157.51485650851342,100.4680402403773,-398.6258560204912,-0.5055983601540799
ppo_across_seeds,,aggregate_seed_means,30,-152.9778999394724,4.4170754778486545,-157.51485650851342,-148.69135956596935
random_policy,,uniform_random,30,-1198.5805272286093,280.66191606807195,-1758.3844493244947,-762.8476536687682
