update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,192,-5.06400064677,20.0,2.6695794076658785e-05,0,-0.14369654655456543,142.7283477783203,0.002008630195632577,0.041748046875,0.8346074819564819,19028
2,8192,384,-16.55233068689704,20.0,1.905823592096567e-05,0,-0.12377887219190598,106.36811065673828,0.0016817161813378334,0.031689453125,0.8665107488632202,19078
3,12288,608,-24.519350542873145,20.0,2.4411392587353475e-05,0,-0.19280850887298584,143.96849060058594,0.007107654586434364,0.020361328125,0.8554245233535767,18870
4,16384,800,-6.020122742652893,20.0,1.4958665815356653e-05,0,-0.13269582390785217,112.06864929199219,0.007667003199458122,0.0189453125,0.8746113181114197,19135
5,20480,1024,-1.0812952354550363,20.0,3.206369001418352e-05,0,-0.15840154886245728,91.97625732421875,0.0070033627562224865,0.02158203125,0.874492883682251,19270
6,24576,1216,-14.326573216915131,20.0,2.5623736291890964e-05,0,-0.17518016695976257,95.8428955078125,0.009128626435995102,0.080517578125,0.9081931710243225,19377
7,28672,1408,-15.251338976621629,20.0,2.809716170304455e-05,0,-0.1536489725112915,136.88978576660156,0.0032340737525373697,0.02646484375,0.8974121809005737,19488
8,32768,1632,-5.7490781866014,20.0,2.583729656180367e-05,0,-0.1596115082502365,102.2890396118164,0.00869541522115469,0.022412109375,0.916304349899292,19555
9,36864,1824,-12.61115445047617,20.0,4.460785203264095e-05,0,-0.18453164398670197,95.21092224121094,0.0023490525782108307,0.003076171875,0.8926013708114624,19614
10,40960,2048,-6.055940800905228,20.0,4.105757034267299e-05,0,-0.16411465406417847,72.83795166015625,0.004493227228522301,0.018505859375,0.9001443386077881,19672
11,45056,2240,-0.7091036297380924,20.0,2.8963533623027615e-05,0,-0.1596246361732483,71.66227722167969,0.004459787160158157,0.012548828125,0.913668692111969,19709
12,49152,2432,-24.200928270816803,20.0,4.0823357267072424e-05,0,-0.16289377212524414,137.10630798339844,0.003985211253166199,0.026123046875,0.884822428226471,19742
13,53248,2656,-14.90811765640974,20.0,3.7361136492108926e-05,0,-0.17687615752220154,86.47207641601562,0.00785138551145792,0.022412109375,0.8751735687255859,19555
14,57344,2848,-24.271051396429538,20.0,6.717644282616675e-05,0,-0.14144255220890045,96.39221954345703,0.0048981597647070885,0.01904296875,0.876640796661377,19539
15,61440,3072,-13.38040207773447,20.0,3.930737148039043e-05,0,-0.18518704175949097,119.25150299072266,0.0065810829401016235,0.0146484375,0.8802571296691895,19519
16,65536,3264,-10.010568314790726,20.0,2.740922172961291e-05,0,-0.20551146566867828,142.99578857421875,0.004396126139909029,0.016162109375,0.88036048412323,19545
17,69632,3456,-5.866245476901531,20.0,3.0774368497077376e-05,0,-0.16352947056293488,118.9691390991211,0.0014273226261138916,0.016064453125,0.9062108993530273,19577
18,73728,3680,-9.0312376357615,20.0,2.2773656382923946e-05,0,-0.1450028419494629,64.00808715820312,0.00303643592633307,0.015771484375,0.9243443012237549,19607
19,77824,3872,-25.793580371141434,20.0,4.8812398745212704e-05,0,-0.1782217025756836,110.35889434814453,0.004026881419122219,0.03828125,0.8906823396682739,19618
20,81920,4096,-19.63392574712634,20.0,2.2503863874590024e-05,0,-0.19732823967933655,116.8297119140625,0.009566927328705788,0.016650390625,0.893030047416687,19590
21,86016,4288,-21.774657153338193,20.0,3.4488955861888826e-05,0,-0.13864614069461823,41.2166633605957,0.002257541986182332,0.00517578125,0.8984793424606323,19555
22,90112,4480,-12.646368446201086,20.0,3.8838603359181434e-05,0,-0.15502029657363892,53.1196174621582,0.0037176208570599556,0.01474609375,0.8976668119430542,19533
23,94208,4704,-12.85627689808607,20.0,4.4039072236046195e-05,0,-0.19703345000743866,100.23867797851562,0.0034215888008475304,0.004443359375,0.8727623820304871,19554
24,98304,4896,-0.5288349244743585,20.0,2.219244561274536e-05,0,-0.15372417867183685,98.96397399902344,0.006822876166552305,0.019482421875,0.893372654914856,19574
25,102400,5120,-7.783407395333052,20.0,5.214774137130007e-05,0,-0.17313191294670105,132.1079559326172,0.005607494153082371,0.016748046875,0.8683831691741943,19595
26,106496,5312,-0.37349690347909925,20.0,3.717970321304165e-05,0,-0.18963918089866638,88.19336700439453,0.005965477786958218,0.009619140625,0.8641019463539124,19619
27,110592,5504,-13.03176565915346,20.0,2.75250495178625e-05,0,-0.15572325885295868,85.12429809570312,0.00377555750310421,0.010888671875,0.8665059804916382,19634
28,114688,5728,-24.37600801885128,20.0,5.061655247118324e-05,0,-0.19785740971565247,125.8226547241211,0.0009495122358202934,0.00146484375,0.8612098097801208,19654
29,118784,5920,-24.945862904191017,20.0,5.175409751245752e-05,0,-0.1808229237794876,103.86856842041016,0.0029354600701481104,0.008349609375,0.8585339784622192,19675
30,122880,6144,-0.30551096946001055,20.0,1.889264240162447e-05,0,-0.1767229437828064,74.45948791503906,0.004211269319057465,0.01318359375,0.8854794502258301,19690
31,126976,6336,-17.186488834023475,20.0,4.597151928464882e-05,0,-0.2004653811454773,142.49034118652344,0.0003819647245109081,0.004296875,0.8756338357925415,19704
32,131072,6528,-22.14756403118372,20.0,6.691347516607493e-05,0,-0.20817720890045166,131.79190063476562,0.002020088257268071,9.765625e-05,0.8529402017593384,19716
33,135168,6752,-22.69960913956165,20.0,5.380551010603085e-05,0,-0.2316603660583496,201.376953125,0.0018192040733993053,0.00068359375,0.8213329911231995,19719
34,139264,6944,-13.932620500028133,20.0,1.7574340745341033e-05,0,-0.17679369449615479,118.8692626953125,0.0028512782882899046,0.007958984375,0.8874449133872986,19732
35,143360,7168,-9.736791317909956,20.0,3.79578850697726e-05,0,-0.16727414727210999,88.39208221435547,0.003195281606167555,0.008447265625,0.8796969056129456,19741
36,147456,7360,-20.067753723263742,20.0,3.505995846353471e-05,0,-0.14911924302577972,63.02640914916992,0.002941761864349246,0.002001953125,0.8813165426254272,19753
37,151552,7552,-9.490921308100223,20.0,3.83443184546195e-05,0,-0.2017795592546463,120.07330322265625,0.0018897791160270572,0.002685546875,0.862419843673706,19765
38,155648,7776,-22.42581550553441,20.0,2.988799496961292e-05,0,-0.13915644586086273,74.47270965576172,0.0018099064473062754,0.00380859375,0.8872265815734863,19774
39,159744,7968,-25.94353162497282,20.0,4.861168781644665e-05,0,-0.19354380667209625,107.7952880859375,0.004163222387433052,0.00615234375,0.8707936406135559,19785
40,163840,8192,-15.02852321639657,20.0,3.629608545452356e-05,0,-0.19426438212394714,84.48155212402344,0.0022357553243637085,0.022705078125,0.8801360726356506,19792
41,167936,8384,-16.898102934658528,20.0,3.5870391002390534e-05,0,-0.16570007801055908,70.1198959350586,0.0036482224240899086,0.002734375,0.8956574201583862,19803
42,172032,8576,-23.684696846455335,20.0,5.7454431953374296e-05,0,-0.18875962495803833,99.46067810058594,0.002000179374590516,0.00205078125,0.84343022108078,19810
43,176128,8800,-12.272139631956815,20.0,4.367746441857889e-05,0,-0.18955576419830322,90.53523254394531,0.0006479590083472431,0.0021484375,0.8418054580688477,19819
44,180224,8992,-26.029031798243523,20.0,4.927584086544812e-05,0,-0.15635009109973907,63.75254821777344,0.0015271713491529226,0.00234375,0.8508356213569641,19825
45,184320,9216,-14.598616172373294,20.0,3.6644734791480005e-05,0,-0.19918718934059143,125.31346130371094,0.0008887731237336993,0.001171875,0.8581817150115967,19823
46,188416,9408,-3.4527829349040986,20.0,3.4241878893226385e-05,0,-0.19839218258857727,80.33872985839844,0.0023006813134998083,0.0009765625,0.8688555955886841,19832
47,192512,9600,-6.721163893491029,20.0,4.949330832459964e-05,0,-0.18850451707839966,120.47928619384766,0.0011620784644037485,0.00703125,0.851224422454834,19835
48,196608,9824,-5.346079167723656,20.0,3.5605960874818265e-05,0,-0.17588640749454498,104.13729095458984,0.0033022896386682987,0.006298828125,0.8576691150665283,19844
49,200704,10016,-6.171335760504007,20.0,2.6635885660653003e-05,0,-0.16500139236450195,81.74867248535156,0.00553223118185997,0.002685546875,0.8755850791931152,19851
50,204800,10240,-15.433170812577009,20.0,2.3625481844646856e-05,0,-0.2130831629037857,133.29824829101562,0.0005698525346815586,0.000244140625,0.8485756516456604,19855
51,208896,10432,-4.213277437537909,20.0,3.51812232111115e-05,0,-0.1415875256061554,57.09404373168945,0.0005598072893917561,0.0,0.8782535791397095,19863
52,212992,10624,-21.73597185984254,20.0,3.7855945265619084e-05,0,-0.2089552879333496,134.21884155273438,0.0007980085210874677,4.8828125e-05,0.8695578575134277,19870
53,217088,10848,-6.287497550994158,20.0,3.363635914865881e-05,0,-0.1349140852689743,75.80892944335938,0.0011417428031563759,0.0001953125,0.8830500841140747,19876
54,221184,11040,-26.490332704782485,20.0,3.614506567828357e-05,0,-0.18512608110904694,88.1224365234375,0.0009480982553213835,0.00224609375,0.8693265914916992,19880
55,225280,11264,-0.3914253361523151,20.0,3.655564069049433e-05,0,-0.2086367905139923,110.60220336914062,0.0005049003520980477,0.0,0.8551232218742371,19869
56,229376,11456,-6.149850208312273,20.0,4.271947909728624e-05,0,-0.19755326211452484,87.06204223632812,0.00026033917674794793,0.0,0.8599510192871094,19861
57,233472,11648,-28.032604549080133,20.0,4.397866359795444e-05,0,-0.21133333444595337,146.92413330078125,0.0001320432056672871,0.0001953125,0.8412046432495117,19836
58,237568,11872,-14.620282920449972,20.0,3.568425017874688e-05,0,-0.13845184445381165,95.87496185302734,0.0018845561426132917,0.000634765625,0.8606691360473633,19789
59,241664,12064,-0.3207579866051674,20.0,3.2226766052190214e-05,0,-0.1684216856956482,81.34105682373047,0.0012209458509460092,0.000146484375,0.868017852306366,19779
60,245760,12288,-14.594444040954112,20.0,2.5536306566209532e-05,0,-0.1746111959218979,85.36601257324219,0.005567767191678286,0.006787109375,0.8664811849594116,19739
61,249856,12480,-18.839974954724312,20.0,3.229954018024728e-05,0,-0.14945730566978455,45.0745964050293,0.0001613013882888481,0.0,0.8531054258346558,19709
62,253952,12672,-16.201207475364207,20.0,2.8616983399842866e-05,0,-0.1325816661119461,44.84470748901367,0.00011602829908952117,0.0,0.8754466772079468,19678
63,258048,12896,-27.895909070968628,20.0,4.8623976908857e-05,0,-0.2185460925102234,130.45787048339844,0.002910852897912264,0.004296875,0.8452156186103821,19673
64,262144,13088,-31.5625112131238,20.0,3.142458081129007e-05,0,-0.1747419387102127,114.64973449707031,0.0008721667109057307,0.0,0.8609000444412231,19654
65,266240,13312,-44.6343323007226,20.0,2.7939629944739863e-05,0,-0.18613335490226746,106.7245864868164,0.0007672704523429275,0.000927734375,0.8805294036865234,19634
66,270336,13504,-10.145473792403937,20.0,5.4573294619331136e-05,0,-0.16927815973758698,143.98260498046875,0.002462577074766159,0.0056640625,0.8400020003318787,19610
67,274432,13696,-15.20895563736558,20.0,3.369205296621658e-05,0,-0.17194193601608276,77.28144836425781,0.001101418398320675,4.8828125e-05,0.871299147605896,19616
68,278528,13920,-19.596277871727942,20.0,5.406093623605557e-05,0,-0.15877795219421387,108.06669616699219,0.003034142777323723,0.00927734375,0.8538485169410706,19620
69,282624,14112,-10.365639872848988,20.0,2.5560286303516477e-05,0,-0.1502704918384552,68.4538803100586,0.0020062809344381094,0.000146484375,0.886125922203064,19626
70,286720,14336,-16.02999262958765,20.0,2.4695807951502502e-05,0,-0.16753283143043518,66.55817413330078,0.0011934934882447124,0.0,0.8648511171340942,19633
71,290816,14528,-21.922680112719537,20.0,3.879703945131041e-05,0,-0.17835941910743713,100.42227935791016,0.0005026996368542314,0.0,0.8608528971672058,19637
72,294912,14720,-9.26090250313282,20.0,6.327215669443831e-05,0,-0.16415199637413025,104.18240356445312,0.00045035729999653995,0.0,0.828444242477417,19645
73,299008,14944,-28.714953606575726,20.0,2.5166886189254e-05,0,-0.1532253623008728,130.93373107910156,0.0010386392241343856,0.000146484375,0.8394566774368286,19649
74,303104,15136,-0.3051272578537464,20.0,2.0704002963611856e-05,0,-0.16720795631408691,103.52285766601562,0.0019518164917826653,0.0001953125,0.8610944747924805,19655
75,307200,15360,-8.820279431343078,20.0,2.489418511686381e-05,0,-0.15132540464401245,74.30792999267578,0.00311557250097394,0.002490234375,0.8775943517684937,19656
76,311296,15552,-18.31268615350127,20.0,1.7675673007033765e-05,0,-0.08522114157676697,24.63243865966797,0.00041135281207971275,0.00029296875,0.8865567445755005,19560
77,315392,15744,-23.801326762139798,20.0,4.203187927487306e-05,0,-0.15653449296951294,85.4903793334961,0.0015437074471265078,4.8828125e-05,0.8460026979446411,19496
78,319488,15968,-11.511665936559439,20.0,2.353893250983674e-05,0,-0.1546163707971573,89.94436645507812,0.0006997838499955833,9.765625e-05,0.8434023857116699,19332
79,323584,16160,-15.496302005648612,20.0,4.206344237900339e-05,0,-0.16104015707969666,81.69664001464844,0.0009259870275855064,0.0,0.848443865776062,19317
80,327680,16384,-18.296043185889722,20.0,3.834205926978029e-05,0,-0.14042648673057556,92.37863159179688,0.00034693628549575806,0.0,0.8439843654632568,19304
81,331776,16576,-12.627896982431412,20.0,2.3460159354726784e-05,0,-0.14325979351997375,45.037841796875,0.00030364381382241845,0.0,0.8505111932754517,19232
82,335872,16768,-14.182002159953118,20.0,1.438161143596517e-05,0,-0.15128646790981293,59.53854751586914,0.0003346643061377108,0.0,0.8780493140220642,19044
83,339968,16992,-25.307652950286865,20.0,3.409632699913345e-05,0,-0.13586632907390594,54.040245056152344,0.0010122419334948063,0.0,0.852837324142456,19016
84,344064,17184,-15.583994153141976,20.0,3.048399230465293e-05,0,-0.1428619921207428,56.97896194458008,0.0024613477289676666,0.000732421875,0.860958456993103,19008
85,348160,17408,-12.587038145959378,20.0,4.954986070515588e-05,0,-0.1389930546283722,80.7620849609375,8.861016249284148e-05,0.0,0.8242623209953308,18997
86,352256,17600,-0.7187699258327485,20.0,4.6289918827824295e-05,0,-0.1741470992565155,105.42945861816406,0.00022956071188673377,0.0,0.8537667393684387,19007
87,356352,17792,-11.208649992197753,20.0,3.277817813795991e-05,0,-0.15113449096679688,84.8760757446289,3.206153633072972e-05,0.0,0.8412712812423706,19018
88,360448,18016,-19.285541307926177,20.0,5.368050915421918e-05,0,-0.16654077172279358,119.69264221191406,0.0020706034265458584,0.000244140625,0.8403675556182861,19029
89,364544,18208,-5.06819698959589,20.0,2.6174981030635536e-05,0,-0.13954365253448486,77.4381103515625,0.0002621542662382126,0.0,0.8508614301681519,19039
90,368640,18432,-10.050350055098534,20.0,2.8897866286570206e-05,0,-0.13399210572242737,64.57178497314453,0.0007618449162691832,0.0,0.8366082906723022,19049
91,372736,18624,-25.096035373210906,20.0,3.7966194213368e-05,0,-0.12220882624387741,79.39627075195312,0.00048787653213366866,0.0,0.8404478430747986,19059
92,376832,18816,-33.24146703332663,20.0,5.5499480367871e-05,0,-0.13415512442588806,78.85839080810547,0.00017019131337292492,0.0,0.8124220371246338,19068
93,380928,19040,-28.307864689081907,20.0,6.72020687488839e-05,0,-0.1258505880832672,85.0479736328125,0.0006137541495263577,0.0,0.8054274320602417,19078
94,385024,19232,-15.016001419723034,20.0,2.9468679713318124e-05,0,-0.14900100231170654,75.0172119140625,0.0020687957294285297,0.00029296875,0.8388932943344116,19087
95,389120,19456,-40.39347315132618,20.0,3.924182237824425e-05,0,-0.11069364100694656,54.37761688232422,0.00023273489205166698,0.0,0.8091835975646973,19096
96,393216,19648,-22.115879130363464,20.0,3.160601409035735e-05,0,-0.15543828904628754,100.36799621582031,0.0023130932822823524,0.0005859375,0.8332716226577759,19106
97,397312,19840,-13.35174223035574,20.0,2.650326132425107e-05,0,-0.1496964544057846,98.765625,0.0002197189023718238,0.0,0.8347352743148804,19116
98,401408,20064,-6.72947494238615,20.0,3.3943641028599814e-05,0,-0.17790773510932922,101.53510284423828,8.677679579705e-05,0.0,0.802883505821228,19121
99,405504,20256,-14.231058529019355,20.0,3.976039442932233e-05,0,-0.15413859486579895,75.92222595214844,0.0006130462279543281,0.0,0.8381828665733337,19128
100,409600,20480,-10.846897006034851,20.0,3.2648793421685696e-05,0,-0.1504274308681488,66.59012603759766,0.0001709547359496355,0.0,0.8391255140304565,19138
101,413696,20672,-19.546216689050198,20.0,5.1357594202272594e-05,0,-0.17707084119319916,102.45256805419922,1.2120406609028578e-05,0.0,0.8240589499473572,19146
102,417792,20864,-9.208579200506211,20.0,3.805691085290164e-05,0,-0.1746736615896225,83.21218872070312,7.583823753520846e-05,0.0,0.8206405639648438,19154
103,421888,21088,-2.5343033492565157,20.0,2.5596282284823246e-05,0,-0.12581466138362885,58.513614654541016,0.000182332907570526,0.0,0.8243737816810608,19163
104,425984,21280,-6.876705283671617,20.0,2.669779132702388e-05,0,-0.12098876386880875,62.29753494262695,0.00029291119426488876,0.0,0.850609302520752,19171
105,430080,21504,-29.358212393522262,20.0,2.736373062361963e-05,0,-0.14949122071266174,81.79744720458984,0.0014506547013297677,0.000146484375,0.8328186869621277,19179
106,434176,21696,-1.3016852468252182,20.0,5.9678684920072556e-05,0,-0.1571888029575348,113.6670150756836,0.00011511910997796804,0.0,0.811911940574646,19186
107,438272,21888,-6.850246256589889,20.0,2.3803326257620938e-05,0,-0.12448088824748993,69.07464599609375,0.0007502333610318601,0.0,0.85866379737854,19195
108,442368,22112,-7.685802142322063,20.0,2.303247310919687e-05,0,-0.11978340893983841,57.474464416503906,0.00026260101003572345,0.0,0.8672564029693604,19202
109,446464,22304,-15.06941202133894,20.0,3.509023736114614e-05,0,-0.1471925973892212,106.3970947265625,0.00020476867211982608,0.0,0.8292691111564636,19208
110,450560,22528,-28.9115274772048,20.0,3.6155193811282516e-05,0,-0.11452741920948029,90.24407958984375,0.00010310836660210043,0.0,0.8322837948799133,19215
111,454656,22720,-10.361353489011526,20.0,2.6637138944352046e-05,0,-0.13082197308540344,64.74331665039062,5.444997805170715e-05,0.0,0.8467661142349243,19222
112,458752,22912,-9.253472753614187,20.0,2.1597672457573935e-05,0,-0.17929856479167938,162.01560974121094,1.6042948118411005e-05,0.0,0.8285956382751465,19229
