method,seeds,model_return_mean,model_return_sd,real_return_mean,real_return_sd,gap_mean,gap_sd,mean_training_horizon
Real PPO (mid init),1,-579.4545288085938,0.0,-576.4338743276508,0.0,-3.020690491685268,0.0,
Fixed H=5,3,-772.3345743815104,261.952928001063,-792.3516218192553,248.67578994658106,20.017042351481898,22.22852434230769,5.0
Fixed H=20,3,-726.0609334309896,84.73075913061082,-753.8100879173684,105.46889814757736,27.74915062081889,20.739326317786112,20.0
Uncertainty termination,3,-1463.7235107421875,48.54490980839968,-1472.6701036763359,24.132736011250234,8.946631996648271,25.559521043581995,4.333333333333333
Weighted advantage H=20,3,-1475.5152994791667,4.561105236259287,-1462.11526311568,4.163757083053488,-13.400077053591014,1.1676571150433845,20.0
